[Exercício 3]
Contagem de proteínas completas usando MPI e OpenMP:
Arquivo ../ex2/output_mpi/transcribed_chr1_upper.subst.fa - Contagem de proteínas completas: 645786
Arquivo ../ex2/output_mpi/transcribed_chr2_upper.subst.fa - Contagem de proteínas completas: 706145
Arquivo ../ex2/output_mpi/transcribed_chr3_upper.subst.fa - Contagem de proteínas completas: 588661
Arquivo ../ex2/output_mpi/transcribed_chr4_upper.subst.fa - Contagem de proteínas completas: 586457
Arquivo ../ex2/output_mpi/transcribed_chr5_upper.subst.fa - Contagem de proteínas completas: 536790
Arquivo ../ex2/output_mpi/transcribed_chr6_upper.subst.fa - Contagem de proteínas completas: 505200
Arquivo ../ex2/output_mpi/transcribed_chr7_upper.subst.fa - Contagem de proteínas completas: 451781
Arquivo ../ex2/output_mpi/transcribed_chr8_upper.subst.fa - Contagem de proteínas completas: 421662
Arquivo ../ex2/output_mpi/transcribed_chr9_upper.subst.fa - Contagem de proteínas completas: 347290
Arquivo ../ex2/output_mpi/transcribed_chr10_upper.subst.fa - Contagem de proteínas completas: 372845
Arquivo ../ex2/output_mpi/transcribed_chr11_upper.subst.fa - Contagem de proteínas completas: 374941
Arquivo ../ex2/output_mpi/transcribed_chr12_upper.subst.fa - Contagem de proteínas completas: 380794
Arquivo ../ex2/output_mpi/transcribed_chr13_upper.subst.fa - Contagem de proteínas completas: 297013
Arquivo ../ex2/output_mpi/transcribed_chr14_upper.subst.fa - Contagem de proteínas completas: 257014
Arquivo ../ex2/output_mpi/transcribed_chr15_upper.subst.fa - Contagem de proteínas completas: 231965
Arquivo ../ex2/output_mpi/transcribed_chr16_upper.subst.fa - Contagem de proteínas completas: 202974
Arquivo ../ex2/output_mpi/transcribed_chr17_upper.subst.fa - Contagem de proteínas completas: 199025
Arquivo ../ex2/output_mpi/transcribed_chr18_upper.subst.fa - Contagem de proteínas completas: 222046
Arquivo ../ex2/output_mpi/transcribed_chr19_upper.subst.fa - Contagem de proteínas completas: 128589
Arquivo ../ex2/output_mpi/transcribed_chr20_upper.subst.fa - Contagem de proteínas completas: 155499
Arquivo ../ex2/output_mpi/transcribed_chr21_upper.subst.fa - Contagem de proteínas completas: 100979
Arquivo ../ex2/output_mpi/transcribed_chr22_upper.subst.fa - Contagem de proteínas completas: 81520
Contagem total de proteínas completas em todos os arquivos: 7794976
Tempo de execução: 18.9897 segundos
